"filename", "language", "JSON", "YAML", "Markdown", "C++", "Dart", "Swift", "XML", "comment", "blank", "total"
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 23, 4, 30
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\config.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\main.dart", "Dart", 0, 0, 0, 0, 73, 0, 0, 0, 9, 82
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\buttonstyles.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 1, 5, 36
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\colors.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 5, 16, 62
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\database.dart", "Dart", 0, 0, 0, 0, 276, 0, 0, 1, 7, 284
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\decorations.dart", "Dart", 0, 0, 0, 0, 54, 0, 0, 1, 8, 63
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\editing.dart", "Dart", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\plans.dart", "Dart", 0, 0, 0, 0, 68, 0, 0, 0, 6, 74
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\projects.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\setelementlayers.dart", "Dart", 0, 0, 0, 0, 128, 0, 0, 44, 15, 187
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\setelements.dart", "Dart", 0, 0, 0, 0, 689, 0, 0, 7, 41, 737
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\models\textstyles.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 8, 42
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\pages.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\pages\accountpage.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\pages\databasepage.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\pages\editpage.dart", "Dart", 0, 0, 0, 0, 250, 0, 0, 52, 14, 316
"d:\DEV\.Projects\20210809 Lomp\lomp_desktop\lib\pages\exportpage.dart", "Dart", 0, 0, 0, 0, 94, 0, 0, 0, 9, 103
